Filename,Project_owner(s),Acid_batch,Project_sample_sheet(URL),Sample_01,Sample_02,Sample_03,Sample_04,Sample_05,Sample_06,Sample_07,Sample_08,Sample_09
2018-03-16T12_55_28_TA_titration_T306.csv,Hollie Putnam,A10,https://goo.gl/ZJ3TxE,129,131,135,137,139,157,159,161,163
2018-03-16T14_58_45_TA_titration_T307.csv,Hollie Putnam,A10,https://goo.gl/ZJ3TxE,165,202,204,206,208,210,212,213,215
2018-03-19T13_06_12_TA_titration_T323.csv,Hollie Putnam,A10,https://goo.gl/ZJ3TxE,217,219,221,223,8,10,12,14,16
2018-03-20T10_25_54_TA_titration_T327.csv,Hollie Putnam,A10,https://goo.gl/ZJ3TxE,2-Aug-16 Bin1,2-Aug-16 Bin2,2-Aug-16 Bin3,2-Aug-16 Bin4,2-Aug-16 Bin5,2-Aug-16 Bin6,2-Aug-16 Bin7,2-Aug-16 Bin8,2-Aug-16 Bin9
2018-03-20T14_06_06_TA_titration_T328.csv,Hollie Putnam,A10,https://goo.gl/ZJ3TxE,2-Aug-16 Bin 10,2-Aug-16 Bin 11,2-Aug-16 Bin 12,2-Aug-16 Header1,2-Aug-16 Header2,8-Aug-16 Bin1,8-Aug-16 Bin2,8-Aug-16 Bin3,8-Aug-16 Bin4
2018-03-27T14_59_51_TA_titration_T343.csv,Hollie Putnam,A10,https://goo.gl/ZJ3TxE,8-Aug-16 Bin5,8-Aug-16 Bin6,8-Aug-16 Bin7,8-Aug-16 Bin8,8-Aug-16 Bin9,8-Aug-16 Bin10,8-Aug-16 Bin11,8-Aug-16 Bin12,15-Aug-16 Bin1
2018-04-02T12_34_51_TA_titration_T347.csv,Yaamini Vankataraman; Laura Spencer,A10,https://goo.gl/J5TBMD,H1 A 2/20/17,H2 A 2/20/17,T1 A 2/20/17,T2 A 2/20/17,T3 A 2/20/17,T4 A 2/20/17,T5 A 2/20/17,T6 A 2/20/17,H1 A 3/20/17
2018-04-02T15_51_41_pH_TA_titration_T349.csv,Yaamini Vankataraman; Laura Spencer,A10,https://goo.gl/J5TBMD,H2 A 3/20/17,T1 A 3/20/17,T2 A 3/20/17,T3 A 3/20/17,T4 A 3/20/17,T5 A 3/20/17,T6 A 3/20/17,H1 A 4/4/17,H2 A 4/4/17
2018-04-03T09_12_45_pH_TA_titration_T363.csv,Yaamini Vankataraman; Laura Spencer,A10,https://goo.gl/J5TBMD,T1 A 4/4/17,T2 A 4/4/17,T3 A 4/4/17,T4 A 4/4/17,T5 A 4/4/17,T6 A 4/4/17,,,
